Field_ID,Pollution_level,Plot_size,Crop_type,Annual_yield,Standard_yield
40734,0.09,1.3,cassava,0.75,0.58
30629,0.4,2.2,cassava,1.07,0.49
39924,0.36,3.4,tea,2.21,0.65
5754,0.29,2.4,cassava,1.28,0.53
14146,0.04,1.5,wheat,0.83,0.56
5304,0.13,1.7,potato,1.11,0.65
429,0.0,2.9,banana,0.99,0.34
672,0.61,1.4,tea,0.56,0.4
26124,0.28,13.9,coffee,8.53,0.61
44050,0.31,4.6,cassava,2.21,0.48
22734,0.45,3.2,coffee,1.52,0.47
16655,0.0,1.9,banana,0.94,0.49
32297,0.19,4.2,potato,2.61,0.62
24164,0.05,1.1,tea,0.79,0.72
26011,0.09,1.3,cassava,0.58,0.45
42538,0.7,13.1,wheat,4.45,0.34
4813,0.1,1.2,tea,0.77,0.64
37912,0.03,2.5,banana,0.96,0.38
36614,0.17,2.5,tea,1.95,0.78
34153,0.3,1.5,wheat,0.79,0.53
15118,0.0,4.8,rice,2.31,0.48
41199,0.58,2.0,cassava,1.07,0.53
43441,0.06,7.1,wheat,4.26,0.6
19788,0.3,1.6,potato,0.98,0.61
18871,0.11,1.6,cassava,0.95,0.6
41012,0.03,4.2,tea,3.05,0.73
1603,0.19,4.8,potato,2.6,0.54
33183,0.11,1.6,potato,1.02,0.64
314,0.31,11.7,tea,6.8,0.58
32300,0.04,4.1,cassava,1.67,0.41
11444,0.29,2.2,wheat,1.2,0.55
43912,0.05,4.6,cassava,2.32,0.5
40248,0.47,3.6,wheat,1.78,0.5
35014,0.45,2.4,wheat,1.1,0.46
2593,0.08,1.8,potato,1.13,0.63
26750,0.05,2.0,tea,1.19,0.59
21090,0.17,2.8,wheat,1.31,0.47
18533,0.04,2.4,banana,1.07,0.44
17418,0.71,1.4,wheat,0.53,0.38
19062,0.11,13.5,wheat,7.37,0.55
22460,0.04,4.7,banana,2.07,0.44
37828,0.06,3.0,cassava,1.71,0.57
15949,0.31,10.4,wheat,3.75,0.36
9036,0.01,1.8,rice,1.01,0.56
23951,0.26,1.4,tea,0.95,0.68
25239,0.34,8.3,tea,5.44,0.66
43917,0.8,2.3,coffee,0.74,0.32
9806,0.14,3.2,tea,2.76,0.86
44636,0.0,2.2,wheat,1.59,0.72
19341,0.61,1.8,wheat,0.93,0.52
41964,0.03,4.1,maize,2.24,0.55
45022,0.21,2.7,wheat,1.67,0.62
18614,0.74,0.8,tea,0.31,0.39
24239,0.07,2.9,wheat,1.43,0.49
35122,0.9,1.4,tea,0.61,0.43
5186,0.3,0.7,maize,0.38,0.54
23796,0.24,4.5,banana,3.01,0.67
6935,0.08,4.3,banana,2.28,0.53
4,0.39,1.1,potato,0.6,0.54
29767,0.0,2.9,wheat,1.65,0.57
23109,0.06,2.7,coffee,1.21,0.45
7680,0.16,4.6,wheat,2.3,0.5
37139,0.3,2.0,wheat,0.91,0.46
5396,0.34,8.8,coffee,5.56,0.63
12123,0.01,3.4,cassava,1.21,0.36
20386,0.0,10.7,cassava,3.84,0.36
35862,0.2,0.7,maize,0.39,0.56
30839,0.09,3.2,wheat,1.35,0.42
6921,0.12,8.8,coffee,5.14,0.58
2182,0.03,1.4,banana,0.59,0.42
41249,0.01,3.3,maize,2.19,0.66
26350,0.69,0.8,wheat,0.36,0.45
2004,0.21,1.4,potato,0.71,0.51
25561,0.68,4.6,banana,1.77,0.38
8474,0.12,1.0,cassava,0.62,0.62
14703,0.0,1.0,wheat,0.68,0.68
16213,0.13,4.6,tea,3.52,0.77
41451,0.12,3.4,wheat,2.31,0.68
18442,0.91,11.1,wheat,4.11,0.37
26458,0.74,4.1,tea,1.95,0.48
35134,0.33,2.7,tea,1.63,0.6
17163,0.0,0.9,cassava,0.31,0.35
38092,0.48,7.4,coffee,2.98,0.4
38365,0.06,4.2,wheat,2.11,0.5
8409,0.07,6.5,coffee,3.11,0.48
41801,0.34,12.3,potato,6.64,0.54
23715,0.97,2.4,cassava,0.67,0.28
39738,0.0,4.4,banana,1.73,0.39
44373,0.75,0.8,tea,0.29,0.36
16313,0.12,1.3,tea,1.09,0.84
1570,0.31,1.4,cassava,0.72,0.51
19224,0.34,2.9,wheat,1.89,0.65
7613,0.69,1.2,cassava,0.38,0.32
38394,0.03,1.6,rice,0.95,0.6
18874,0.05,3.5,banana,1.81,0.52
20544,0.1,1.8,cassava,0.92,0.51
646,0.17,1.5,tea,1.13,0.76
21775,0.17,4.5,tea,3.65,0.81
27620,0.08,4.6,banana,1.47,0.32
44208,0.17,0.5,tea,0.38,0.75
3189,0.07,5.2,maize,2.62,0.5
31578,0.17,1.4,rice,0.81,0.58
1388,0.58,2.3,wheat,1.31,0.57
18600,0.01,14.6,wheat,7.47,0.51
18577,0.03,12.0,tea,8.27,0.69
40234,0.08,0.9,wheat,0.56,0.62
3861,0.07,1.1,wheat,0.62,0.56
10708,0.02,0.9,maize,0.6,0.66
25434,0.18,0.8,tea,0.64,0.8
4336,0.83,1.1,wheat,0.52,0.47
41928,0.35,2.6,coffee,1.1,0.42
1644,0.26,4.4,wheat,2.53,0.58
44390,0.1,4.5,banana,1.72,0.38
36556,0.14,9.1,coffee,4.65,0.51
21026,0.12,1.5,wheat,0.78,0.52
20779,0.23,6.7,tea,5.43,0.81
42558,0.26,3.2,potato,1.85,0.58
6660,0.67,3.7,tea,1.77,0.48
14398,0.55,11.2,tea,6.15,0.55
7330,0.03,0.9,wheat,0.54,0.6
40376,0.35,1.0,tea,0.44,0.44
4855,0.42,1.1,tea,0.67,0.61
44016,0.51,1.8,potato,0.95,0.53
29028,0.0,2.2,cassava,0.79,0.36
21155,0.08,1.7,cassava,0.7,0.41
9447,0.0,1.1,maize,0.75,0.69
11570,0.2,1.5,potato,1.02,0.68
5688,0.7,1.7,cassava,0.89,0.53
34826,0.34,1.5,tea,0.74,0.49
42965,0.11,1.8,tea,0.93,0.52
22091,0.1,1.4,wheat,0.95,0.68
34551,0.26,6.2,rice,3.46,0.56
29643,0.02,3.2,coffee,1.76,0.55
27036,0.02,3.1,wheat,1.67,0.54
9738,0.89,4.9,cassava,2.66,0.54
19849,0.24,1.4,cassava,0.59,0.42
24873,0.0,14.8,maize,9.26,0.63
29518,0.42,2.0,wheat,1.17,0.58
12203,0.07,6.0,wheat,2.83,0.47
18644,0.06,2.3,wheat,1.13,0.49
15119,0.22,2.7,wheat,1.53,0.57
8879,0.07,4.3,tea,3.13,0.73
42430,0.46,2.6,potato,1.16,0.45
23815,0.09,0.8,wheat,0.39,0.49
13745,0.04,1.3,cassava,0.54,0.42
4729,0.17,0.5,banana,0.22,0.44
1866,0.01,3.4,wheat,1.94,0.57
28028,0.77,2.2,cassava,0.89,0.4
16233,0.03,2.1,banana,1.02,0.48
12154,0.32,3.2,wheat,1.77,0.55
35731,0.22,1.3,cassava,0.61,0.47
4408,0.03,2.0,coffee,1.08,0.54
2710,0.0,3.6,banana,1.08,0.3
35697,0.38,4.3,wheat,1.75,0.41
40492,0.14,1.4,maize,0.64,0.46
2982,0.91,1.1,cassava,0.62,0.56
25166,0.13,0.9,wheat,0.52,0.58
43403,0.49,2.6,potato,1.49,0.57
9270,0.65,12.7,coffee,4.54,0.36
44739,0.3,0.6,cassava,0.27,0.45
40056,0.22,1.3,potato,0.84,0.64
3211,0.37,1.5,coffee,0.46,0.31
42113,0.0,4.8,wheat,2.39,0.5
37002,0.36,4.6,potato,2.52,0.55
