ZAR/USD,Value of Exports (ZAR)
7.01,39356.82
7.66,46946.33
7.97,51150.89
7.79,56174.34
7.62,56240.45
7.92,60159.93
7.63,61268.16
7.66,60390.94
8.06,61067.34
9.74,65652.57
10.1,53877.9
9.97,48541.09
9.9,36251.75
10.01,44061.75
10.47,52267.6
9.0,40656.33
8.38,41456.8
8.05,43039.15
7.95,44461.89
7.94,39880.63
7.52,45535.41
7.48,44088.89
7.52,45855.86
7.48,45361.67
7.46,42222.67
7.67,46452.33
7.41,56732.74
7.35,48881.26
7.65,52782.61
7.63,60991.85
7.53,62026.96
7.3,54561.33
7.13,59514.74
6.91,59924.36
6.98,62214.34
6.84,60077.57
6.92,50589.55
7.17,57934.09
6.92,66490.02
6.74,59138.45
6.87,62005.07
6.8,68288.05
6.8,64545.09
7.07,68025.51
7.57,76780.08
7.97,69388.71
8.13,77011.38
8.18,69775.24
8.01,59738.68
7.66,65881.18
7.61,69757.79
7.83,59984.38
8.15,70949.4
8.39,71126.23
8.25,70478.5
8.28,70857.29
8.27,65197.15
8.63,69099.25
8.79,76736.92
8.64,67183.07
8.79,61978.65
8.89,71725.97
9.19,72943.05
9.11,75677.71
9.37,75647.38
10.03,77219.97
9.9,86971.61
10.09,81130.12
9.98,76881.4
9.91,84914.24
10.2,86545.26
10.38,77224.45
10.89,78599.25
10.98,85002.63
10.75,80574.22
10.55,77588.84
10.41,79107.27
10.67,81315.5
10.7,86929.54
10.66,79001.33
10.98,91072.46
11.07,88364.24
11.1,84710.62
11.46,88446.1
11.57,67712.09
11.58,77854.8
12.07,92313.81
12.01,83544.94
11.97,88244.87
12.3,89834.0
12.46,92348.7
12.92,87132.35
13.61,90946.99
13.51,85012.51
14.12,93237.28
14.99,87514.73
16.37,70945.32
15.77,86020.07
15.39,91671.36
14.62,89962.96
15.38,99254.44
15.08,101031.04
14.41,90657.93
13.76,89756.45
14.02,99225.51
13.97,88773.61
13.92,99496.01
13.84,93521.86
13.54,80213.48
13.26,87479.8
12.94,101206.02
13.51,91009.21
13.29,102718.94
12.92,102061.56
13.13,92702.85
13.23,103199.17
13.16,102150.48
13.71,104205.42
14.06,116185.99
13.25,104320.26
