Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
1,PCE,Quengale,Tolmoor,Africa,1389119955,1391297088,1330390649,1260399724,1171458553,1040218459,964330509,778632584,15791000.423057938,87.96909111417754,0.9694012674827638,4.565524612553112
2,NJE,Renwick,Nirgora,Africa,1290091778,1263570456,1221328861,1186974799,1074627758,988895621,878835534,779055694,5339974.271317399,241.5913846119951,0.9513080156005145,4.240055542871678
3,LGO,Sillyn,Kaport,Europe,1264361636,1260868371,1185126035,1151863124,1015803190,940457159,863699023,744796131,9170425.125826728,137.87383012802428,1.023436402995533,4.155490062286176
4,RRV,Caswick,Caslyn,Asia,1208541364,1164705056,1115776978,1104653139,996751161,903945568,827460985,715339367,13710243.222473638,88.14879097250265,1.0429490464345106,3.9720294296906205
5,LMK,Bodale,Lusgora,Europe,1111430440,1076345401,1052929406,974978085,950847838,852902238,763724812,649746758,15853674.076827517,70.10554364962753,1.0260147816187128,3.65286166302372
6,WIU,Kaport,Tolnia,Europe,1084149744,1050691001,1030731166,981263386,901664114,826614542,731310663,697540411,15321720.36515936,70.75900865971221,0.9691904653791088,3.5632000836998676
7,HJY,Miragora,Miragora,Asia,1050211959,1033575775,1018901504,969723199,883517188,786289697,723762453,638091682,15254636.247871883,68.84542783814403,0.9649219723940037,3.451659109750619
8,HXA,Caslyn,Tolport,Asia,934886194,901349111,886919877,844010726,779152872,701255858,660534426,581422074,8904345.481346576,104.99212951232214,1.0042901504192459,3.072625883229144
9,TWY,Ordreth,Bonia,Europe,933387491,917513748,893805327,891901235,775334620,723243470,640594443,564210024,4792009.390398219,194.77997953639962,1.0553565716606366,3.0677001995912563
10,MCD,Taland,Miralyn,Americas,848777495,846445107,798481300,758097163,695859202,641007485,593411150,503780898,14396372.283963064,58.9577345082623,1.0396066222847606,2.7896183695695855
11,PSU,Nirmark,Tolstan,Africa,829874455,807281275,791346610,757740549,694328854,603448303,565754380,512978674,1352701.8376084024,613.4939954448726,0.9769839037201107,2.7274910535941443
12,BHS,Renhaven,Rencove,Africa,821967275,814218166,784710695,759622095,680265748,611271023,567764963,477289556,2881582.1915612402,285.24859620771684,1.0374521985481173,2.7015030712201615
13,NQZ,Mordale,Velova,Africa,821373549,806161487,780421682,761568759,685017919,611884504,559769055,475423907,11163733.311132152,73.5751675634306,1.0440449321193561,2.699551712983347
14,ZXA,Zarmark,Silreth,Americas,800504829,788686796,763509702,738350112,652347639,589604385,543383562,484069531,4300808.777859356,186.12890513082417,1.0463202949647723,2.6309639323172207
15,RUP,Nirlyn,Lusreth,Asia,799090952,784596409,734817033,718821456,660681747,600927281,555819030,468999035,12633346.329585303,63.25251688293031,1.0080507993778105,2.626317040434782
16,HMD,Nalgora,Nalova,Asia,783195489,754818867,743290018,729195895,655924264,582182772,517101369,500627630,13177610.503728565,59.43380165762201,1.0471004500262675,2.5740745200583275
17,VOD,Miracove,Casstan,Asia,761934738,742706429,746291842,690459558,635458951,561626124,521772397,448401702,7591536.983404188,100.36633420421461,0.9594060849279433,2.5041982781812444
18,RIB,Sildor,Kurmark,Africa,720414236,694716041,672485183,667522692,601473529,528962426,501069328,434868340,16423847.54578626,43.86391398188734,0.9718445556787872,2.3677357119901474
19,GRY,Varova,Ashova,Americas,693873571,687699786,650817233,630699957,572887982,542047167,466609159,416239137,8114011.889469668,85.5154737819039,1.0334322046189974,2.2805063414416358
20,NXL,Zarvia,Quenstan,Africa,632527712,637178176,600453881,598667543,530987982,482919438,437724290,366108118,13370131.895391256,47.309010632724956,1.0461807474509448,2.078885143693661
21,HZK,Lusreth,Vardor,Asia,619416934,593972421,573098064,574175728,499055145,445279155,425109271,377200291,11819016.018990286,52.40850278946636,0.9684124364399883,2.035794855174467
22,ZJD,Mirathia,Fendale,Americas,554031606,543712957,527347503,502775079,479608466,413992981,373855730,328984351,9917390.41065951,55.86465623098896,1.0563695574323102,1.8208974136616798
23,QZE,Quenreth,Velcove,Africa,526217700,520711693,489503801,473746934,434714147,389835987,356118713,314123382,10994041.541775133,47.86389954963143,1.0076214229585407,1.7294833698585015
24,QPG,Ordova,Dorland,Americas,492898261,489717539,472051399,439731173,412705480,374950659,328519824,287863040,11115110.000760715,44.344883763297545,0.9855489423048849,1.619974670999617
25,TFH,Quenburg,Nirthia,Asia,468443330,463843672,450037704,425654968,396865468,343479197,309321919,288708872,10310787.569105478,45.432351977031395,1.0453921497099319,1.5396003383317172
26,LGG,Dorthia,Casburg,Asia,462030176,444375000,444559007,419003155,388463251,343366241,301534828,278628962,16577925.469598798,27.870204679547374,1.0159762294267123,1.5185226680227528
27,XOK,Pellyn,Pelvia,Africa,447543219,439153585,438066001,403139801,369517044,334778788,305246323,277769998,1561638.6084074103,286.58565214163946,1.055245324005405,1.4709093870340002
28,PCW,Kurfield,Quenova,Africa,374296248,371566345,362518507,345513293,303663684,278137630,251229223,220423168,11437172.453707466,32.726292229568365,0.998625745943736,1.230173626459987
29,DOP,Tirlyn,Ashfield,Africa,354714882,357011839,335548988,322294468,301953513,266828311,242431594,212260402,4529908.588700959,78.30508608601338,1.0450400484671485,1.1658169032708718
30,WCJ,Pelreth,Fencove,Africa,352794923,356837150,331448411,320810219,292315590,261587072,241078507,211090366,6720727.279665415,52.49356331827878,0.9647108869474927,1.1595067066330353
31,CVB,Nirova,Silfield,Europe,338841576,323491932,322966104,308261837,283828944,255584211,233418016,212729878,5945156.077344103,56.994563572731586,0.9593418870971998,1.1136472047759807
32,QPQ,Dordor,Nalhaven,Asia,337158270,323077485,316135576,311161297,274656808,263616651,229317701,194080709,8941648.655053886,37.706499439500526,1.0574572129042974,1.1081147992081273
33,FMV,Morstan,Varwick,Africa,333018447,319819096,313233331,309343977,272571221,254283489,230459608,203803520,10670927.008414637,31.20801470550739,1.0115248999768651,1.0945087288827509
34,MUA,Nalland,Quennia,Americas,285159866,279470994,272511158,259424237,233872716,207785777,207068474,168837772,11946275.403789971,23.87019019413638,1.0478115257504017,0.9372152361999201
35,IHF,Ordstan,Tolreth,Europe,267902118,259642600,258173627,239940598,217335481,200771048,186616324,162374596,7555218.52203702,35.459215007293906,1.0098374608103826,0.880495387804078
36,XNJ,Tavia,Fenstan,Asia,257565455,251430894,246841951,238013170,216367331,197809572,172470374,154961741,8128591.577801124,31.686357044115923,0.9872087248065666,0.8465225914531918
37,TQS,Pelburg,Dorport,Africa,255663018,249352971,239149993,235349339,212173284,186120153,166729557,155613515,8609754.779895753,29.694576040305712,1.0550716046704662,0.840269983162548
38,UWB,Kaland,Tacove,Asia,239008671,236318079,227544408,209431127,196670312,180705506,156310967,143348500,5376515.510271992,44.454195387954684,0.9805176520536517,0.7855332911577887
39,ZID,Quenfield,Tolgale,Americas,233234856,224516407,219453556,218307051,189795320,180015464,158509145,138652638,7896953.430027499,29.534789342070088,1.006384508592854,0.7665568921823465
40,MGS,Kania,Varstan,Asia,219665737,217917221,209517500,196368022,182903680,167143083,146510213,133169467,9473296.312972132,23.187888327656726,0.9537653540946316,0.7219602059550854
41,PZO,Quencove,Quengale,Americas,217348316,218631293,208399399,201061513,177964729,166645534,145642490,131107755,2437637.049599955,89.16352663562832,1.0411404523115753,0.7143436984136993
42,NNP,Cashaven,Zargora,Oceania,215773945,214270290,204845644,198234337,177902892,154461744,150884665,127739765,1373901.4995445334,157.05197575774676,1.0497228561515979,0.7091693219864382
43,GPK,Zardale,Ordcove,Africa,214940250,208980209,205940522,200868933,174141056,162946011,144583983,130068154,10941971.716564335,19.64364883840963,1.0260280593461801,0.7064292742114695
44,MJY,Nalvia,Nirport,Africa,208256844,202615931,197560572,184544797,172029944,160407344,138569627,122164458,6119758.879485679,34.030236828138314,0.9669372733967666,0.6844633853198329
45,NTV,Tadale,Renreth,Asia,185605441,179510946,175904974,168063982,154522302,136640235,123251599,112442886,995227.1098671111,186.4955638364626,0.9940243517474865,0.61001658356371
46,JBN,Mirareth,Tollyn,Africa,171568841,172792190,165432473,156233338,145399474,131557716,114221406,101958794,1318904.0767350513,130.08439660351863,1.0345106162067563,0.5638834598216621
